Sign,Driver,Description
Aries,Max Verstappen,You’re bold, fiery, and unstoppable. Just like Max. He’s your turbo twin 💥
Taurus,George Russell,Grounded, classy, and silently intense — George is your secret crush 😌
Gemini,Lando Norris,Fun, flirty, and fast-talking — perfect chaos couple 💬⚡
Cancer,Carlos Sainz,Loyal and full of heart. Carlos is your emotional pit stop ❤️
Leo,Lewis Hamilton,You need someone legendary. Lewis = gold standard 👑
Virgo,Oscar Piastri,He’s calm, methodical, and secretly a savage. Total Virgo vibes 🧠
Libra,Charles Leclerc,Pretty, poetic, and occasionally dramatic. You’re made for each other 🎻
Scorpio,Fernando Alonso,Intense, iconic, and still spicy at 40+. Dangerous soulmate alert 🔥
Sagittarius,Daniel Ricciardo,Wild, funny, and won’t stop talking — sounds familiar? 🎉
Capricorn,Sergio Perez,Dependable and deep — Checo is your dad-energy prince 👔
Aquarius,Alex Albon,Quirky, clever, and a bit chaotic. It’s a perfect match 💡
Pisces,Pierre Gasly,Romantic and mysterious. Pierre will simp for you every lap 💘
